LOT,WFR,X,Y,HBIN,SBIN,TST_A,TST_B
HVM-0982,W01,18,-34,1,10,1.2071,0.9444
HVM-0982,W01,19,-34,1,10,1.1568,0.8623
HVM-0982,W01,20,-34,1,10,1.1812,0.9355
HVM-0982,W01,21,-34,1,10,1.1800,0.9322
HVM-0982,W01,22,-34,1,10,1.2007,0.9485
HVM-0982,W01,23,-34,1,10,1.2013,0.9628
HVM-0982,W01,24,-34,1,10,1.2542,0.9419
HVM-0982,W01,25,-34,1,10,1.2311,0.9547
HVM-0982,W01,26,-34,1,10,1.2230,0.9214
HVM-0982,W01,27,-34,1,10,1.1949,0.9408
HVM-0982,W01,28,-34,1,10,1.2477,0.9154
HVM-0982,W01,29,-34,1,10,1.2211,0.9503
HVM-0982,W01,30,-34,1,10,1.2552,0.9460
HVM-0982,W01,31,-34,1,10,1.2164,0.9539
HVM-0982,W01,32,-34,1,10,1.2191,0.9232
HVM-0982,W01,33,-34,1,10,1.2360,0.9675
HVM-0982,W01,34,-34,1,10,1.2546,0.9716
HVM-0982,W01,35,-34,1,10,1.2637,0.9807
HVM-0982,W01,36,-34,1,10,1.2815,0.9229
HVM-0982,W01,37,-34,1,10,1.2241,0.9214
HVM-0982,W01,38,-34,1,10,1.2890,0.9331
HVM-0982,W01,39,-34,1,10,1.2471,0.9589
HVM-0982,W01,40,-34,1,10,1.2954,0.9185
HVM-0982,W01,41,-34,3,20,1.2769,0.9556
HVM-0982,W01,-41,-33,4,20,1.0161,0.9924
HVM-0982,W01,-40,-33,2,20,1.0229,0.9783
HVM-0982,W01,-39,-33,3,30,1.0435,0.9581
HVM-0982,W01,-38,-33,2,20,1.0334,0.9830
HVM-0982,W01,-37,-33,1,10,1.0474,0.9546
HVM-0982,W01,-36,-33,1,10,1.0568,0.9534
HVM-0982,W01,-35,-33,1,10,1.0144,0.9261
HVM-0982,W01,-34,-33,1,10,1.0605,0.9250
HVM-0982,W01,-33,-33,1,10,1.0650,0.9161
HVM-0982,W01,-32,-33,1,10,1.0171,0.9365
HVM-0982,W01,-31,-33,1,10,1.0394,0.9277
HVM-0982,W01,-30,-33,1,10,1.0812,0.9462
HVM-0982,W01,-29,-33,1,10,1.0997,0.9414
HVM-0982,W01,-28,-33,1,10,1.0672,0.9535
HVM-0982,W01,-27,-33,1,10,1.0646,0.9327
HVM-0982,W01,-26,-33,1,10,1.0574,0.9244
HVM-0982,W01,-25,-33,1,10,1.0758,0.9432
HVM-0982,W01,-24,-33,1,10,1.0564,0.9664
HVM-0982,W01,-23,-33,1,10,1.0689,0.9649
HVM-0982,W01,-22,-33,1,10,1.1039,0.9567
HVM-0982,W01,-21,-33,3,21,1.0879,0.9543
HVM-0982,W01,-20,-33,1,10,1.0929,0.9371
HVM-0982,W01,-19,-33,1,10,1.0942,0.9219
HVM-0982,W01,-18,-33,1,10,1.0793,0.8947
HVM-0982,W01,-17,-33,1,10,1.0863,0.8853
HVM-0982,W01,-16,-33,1,10,1.0855,0.8910
HVM-0982,W01,-15,-33,1,10,1.1222,0.9483
HVM-0982,W01,-14,-33,4,30,1.1080,0.9210
HVM-0982,W01,-13,-33,1,10,1.1180,0.8897
HVM-0982,W01,-12,-33,1,10,1.1218,0.9566
HVM-0982,W01,-11,-33,1,10,1.0588,0.9287
HVM-0982,W01,-10,-33,1,10,1.1033,0.9817
HVM-0982,W01,-9,-33,1,10,1.1139,0.9520
HVM-0982,W01,-8,-33,1,10,1.1593,0.9515
HVM-0982,W01,-7,-33,1,10,1.1499,0.9426
HVM-0982,W01,-6,-33,1,10,1.1481,0.9411
HVM-0982,W01,-5,-33,1,10,1.1324,0.9297
HVM-0982,W01,-4,-33,1,10,1.1583,0.9103
HVM-0982,W01,-3,-33,1,10,1.1594,0.8707
HVM-0982,W01,-2,-33,1,10,1.2092,0.8800
HVM-0982,W01,-1,-33,1,10,1.1439,0.9164
HVM-0982,W01,0,-33,1,10,1.1191,0.8981
HVM-0982,W01,1,-33,1,10,1.1517,0.9067
HVM-0982,W01,2,-33,1,10,1.1605,0.9201
HVM-0982,W01,3,-33,1,10,1.1332,0.9586
HVM-0982,W01,4,-33,1,10,1.1159,0.9182
HVM-0982,W01,5,-33,1,10,1.1794,0.8966
HVM-0982,W01,6,-33,1,10,1.1895,0.8723
HVM-0982,W01,7,-33,1,10,1.1829,0.9117
HVM-0982,W01,8,-33,1,10,1.1611,0.8525
HVM-0982,W01,9,-33,1,10,1.1497,0.9495
HVM-0982,W01,10,-33,1,10,1.1893,0.9040
HVM-0982,W01,11,-33,1,10,1.1501,0.9385
HVM-0982,W01,12,-33,1,10,1.1551,0.9006
HVM-0982,W01,13,-33,1,10,1.1669,0.9289
HVM-0982,W01,14,-33,1,10,1.1549,0.9051
HVM-0982,W01,15,-33,1,10,1.1665,0.8931
HVM-0982,W01,16,-33,1,10,1.2168,0.9600
HVM-0982,W01,17,-33,1,10,1.1958,0.9496
HVM-0982,W01,18,-33,1,10,1.2075,0.9396
HVM-0982,W01,19,-33,1,10,1.1860,0.9366
HVM-0982,W01,20,-33,1,10,1.1646,0.9323
HVM-0982,W01,21,-33,1,10,1.2109,0.9211
HVM-0982,W01,22,-33,1,10,1.2527,0.9094
HVM-0982,W01,23,-33,1,10,1.2308,0.8995
HVM-0982,W01,24,-33,2,20,1.2269,0.9721
HVM-0982,W01,25,-33,1,10,1.2026,0.8925
HVM-0982,W01,26,-33,1,10,1.2465,0.9153
HVM-0982,W01,27,-33,3,21,1.2212,0.9371
HVM-0982,W01,28,-33,1,10,1.2303,0.9653
HVM-0982,W01,29,-33,1,10,1.1997,0.9666
HVM-0982,W01,30,-33,1,10,1.2543,0.9014
HVM-0982,W01,31,-33,1,10,1.2198,0.9393
HVM-0982,W01,32,-33,1,10,1.2606,0.9675
HVM-0982,W01,33,-33,1,10,1.3210,0.9452
HVM-0982,W01,34,-33,1,10,1.2602,1.0247
HVM-0982,W01,35,-33,1,10,1.2564,0.9784
HVM-0982,W01,36,-33,1,10,1.2318,0.9208
HVM-0982,W01,37,-33,1,10,1.2086,0.9629
HVM-0982,W01,38,-33,1,10,1.2513,0.9439
HVM-0982,W01,39,-33,1,10,1.2817,0.9588
HVM-0982,W01,40,-33,2,20,1.2584,0.9746
HVM-0982,W01,41,-33,1,10,1.2763,0.9749
HVM-0982,W01,-42,-32,3,21,1.0448,0.9621
HVM-0982,W01,-41,-32,1,10,1.0202,0.9808
HVM-0982,W01,-40,-32,1,10,1.0317,0.9044
HVM-0982,W01,-39,-32,1,10,1.0557,1.0082
HVM-0982,W01,-38,-32,1,10,1.0212,0.9795
HVM-0982,W01,-37,-32,1,10,1.0376,0.9524
HVM-0982,W01,-36,-32,1,10,1.0428,0.9525
HVM-0982,W01,-35,-32,1,10,1.0395,0.9701
HVM-0982,W01,-34,-32,1,10,1.0193,0.9134
HVM-0982,W01,-33,-32,1,10,1.0803,0.9478
HVM-0982,W01,-32,-32,1,10,1.0753,0.9522
HVM-0982,W01,-31,-32,1,10,1.0515,0.9419
HVM-0982,W01,-30,-32,1,10,1.0793,0.9323
HVM-0982,W01,-29,-32,1,10,1.0593,0.9266
HVM-0982,W01,-28,-32,1,10,1.0512,0.8993
HVM-0982,W01,-27,-32,1,10,1.1049,0.9565
HVM-0982,W01,-26,-32,1,10,1.0786,0.9445
HVM-0982,W01,-25,-32,1,10,1.0927,0.9362
HVM-0982,W01,-24,-32,1,10,1.0661,0.9036
HVM-0982,W01,-23,-32,1,10,1.0494,0.9349
HVM-0982,W01,-22,-32,1,10,1.1015,0.9185
HVM-0982,W01,-21,-32,1,10,1.0784,0.8949
HVM-0982,W01,-20,-32,1,10,1.0581,0.9113
HVM-0982,W01,-19,-32,1,10,1.0776,0.9064
HVM-0982,W01,-18,-32,1,10,1.0920,0.9346
HVM-0982,W01,-17,-32,1,10,1.1003,0.9087
HVM-0982,W01,-16,-32,1,10,1.0782,0.9266
HVM-0982,W01,-15,-32,1,10,1.0759,0.9113
HVM-0982,W01,-14,-32,1,10,1.1086,0.9061
HVM-0982,W01,-13,-32,1,10,1.1803,0.9593
HVM-0982,W01,-12,-32,1,10,1.1746,0.9122
HVM-0982,W01,-11,-32,1,10,1.1065,0.8784
HVM-0982,W01,-10,-32,1,10,1.1160,0.9318
HVM-0982,W01,-9,-32,1,10,1.1017,0.8770
HVM-0982,W01,-8,-32,1,10,1.1198,0.9413
HVM-0982,W01,-7,-32,1,10,1.1201,0.9296
HVM-0982,W01,-6,-32,1,10,1.1365,0.9168
HVM-0982,W01,-5,-32,1,10,1.1501,0.9067
HVM-0982,W01,-4,-32,1,10,1.1315,0.9254
HVM-0982,W01,-3,-32,1,10,1.1380,0.8932
HVM-0982,W01,-2,-32,1,10,1.1711,0.8674
HVM-0982,W01,-1,-32,1,10,1.1190,0.9151
HVM-0982,W01,0,-32,1,10,1.1930,0.8966
HVM-0982,W01,1,-32,1,10,1.1653,0.9216
HVM-0982,W01,2,-32,1,10,1.1685,0.9376
HVM-0982,W01,3,-32,1,10,1.1671,0.9389
HVM-0982,W01,4,-32,1,10,1.1848,0.8920
HVM-0982,W01,5,-32,1,10,1.1426,0.9380
HVM-0982,W01,6,-32,1,10,1.1738,0.9156
HVM-0982,W01,7,-32,1,10,1.1575,0.9226
HVM-0982,W01,8,-32,1,10,1.1572,0.9068
HVM-0982,W01,9,-32,1,10,1.1687,0.8926
HVM-0982,W01,10,-32,1,10,1.2139,0.9023
HVM-0982,W01,11,-32,1,10,1.1933,0.9016
HVM-0982,W01,12,-32,3,30,1.1853,0.8408
HVM-0982,W01,13,-32,1,10,1.1456,0.8995
HVM-0982,W01,14,-32,1,10,1.1830,0.9427
HVM-0982,W01,15,-32,1,10,1.1715,0.8914
HVM-0982,W01,16,-32,1,10,1.1714,0.9046
HVM-0982,W01,17,-32,1,10,1.2056,0.9095
HVM-0982,W01,18,-32,1,10,1.1985,0.9273
HVM-0982,W01,19,-32,1,10,1.2172,0.8913
HVM-0982,W01,20,-32,1,10,1.1968,0.9281
HVM-0982,W01,21,-32,1,10,1.2251,0.9527
HVM-0982,W01,22,-32,1,10,1.2231,0.9163
HVM-0982,W01,23,-32,1,10,1.2159,0.9188
HVM-0982,W01,24,-32,1,10,1.2326,0.9379
HVM-0982,W01,25,-32,1,10,1.2267,0.9678
HVM-0982,W01,26,-32,1,10,1.2163,0.9311
HVM-0982,W01,27,-32,1,10,1.1872,0.9385
HVM-0982,W01,28,-32,1,10,1.2413,0.9479
HVM-0982,W01,29,-32,1,10,1.2477,0.9612
HVM-0982,W01,30,-32,4,20,1.2723,0.9721
HVM-0982,W01,31,-32,1,10,1.2015,0.9162
HVM-0982,W01,32,-32,1,10,1.2312,0.9113
HVM-0982,W01,33,-32,1,10,1.2631,0.9682
HVM-0982,W01,34,-32,1,10,1.2561,0.9614
HVM-0982,W01,35,-32,1,10,1.2318,0.9614
HVM-0982,W01,36,-32,1,10,1.2943,0.9612
HVM-0982,W01,37,-32,1,10,1.2184,0.9588
HVM-0982,W01,38,-32,4,30,1.2687,0.9652
HVM-0982,W01,39,-32,1,10,1.2544,0.9335
HVM-0982,W01,40,-32,1,10,1.2834,0.9571
HVM-0982,W01,41,-32,1,10,1.3036,0.9513
HVM-0982,W01,42,-32,1,10,1.2649,0.9676
HVM-0982,W01,-42,-31,2,20,0.9750,0.9638
HVM-0982,W01,-41,-31,1,10,0.9992,0.9790
HVM-0982,W01,-40,-31,4,21,1.0461,0.9357
HVM-0982,W01,-39,-31,1,10,1.0608,1.0010
HVM-0982,W01,-38,-31,1,10,1.0455,0.9596
HVM-0982,W01,-37,-31,1,10,1.0097,0.9807
HVM-0982,W01,-36,-31,1,10,1.0207,0.9510
HVM-0982,W01,-35,-31,1,10,1.0420,0.9561
HVM-0982,W01,-34,-31,1,10,1.0546,0.9787
HVM-0982,W01,-33,-31,1,10,1.0475,0.9424
HVM-0982,W01,-32,-31,1,10,1.0852,0.9744
HVM-0982,W01,-31,-31,1,10,1.0563,0.9586
HVM-0982,W01,-30,-31,1,10,1.1267,0.9156
HVM-0982,W01,-29,-31,1,10,1.0481,0.9402
HVM-0982,W01,-28,-31,1,10,1.0398,0.9150
HVM-0982,W01,-27,-31,1,10,1.0556,0.9516
HVM-0982,W01,-26,-31,1,10,1.0848,0.9849
HVM-0982,W01,-25,-31,1,10,1.0278,0.9695
HVM-0982,W01,-24,-31,1,10,1.0556,0.9051
HVM-0982,W01,-23,-31,1,10,1.0685,0.9459
HVM-0982,W01,-22,-31,1,10,1.1230,0.9186
HVM-0982,W01,-21,-31,1,10,1.0665,0.9238
HVM-0982,W01,-20,-31,1,10,1.1177,0.9566
HVM-0982,W01,-19,-31,1,10,1.1410,0.9160
HVM-0982,W01,-18,-31,1,10,1.0924,0.9058
HVM-0982,W01,-17,-31,1,10,1.1433,0.9876
HVM-0982,W01,-16,-31,1,10,1.1238,0.9177
HVM-0982,W01,-15,-31,1,10,1.0903,0.9020
HVM-0982,W01,-14,-31,1,10,1.1421,0.9291
HVM-0982,W01,-13,-31,1,10,1.1103,0.8957
HVM-0982,W01,-12,-31,1,10,1.1419,0.9527
HVM-0982,W01,-11,-31,1,10,1.1031,0.9084
HVM-0982,W01,-10,-31,1,10,1.1220,0.9101
HVM-0982,W01,-9,-31,1,10,1.1292,0.8764
HVM-0982,W01,-8,-31,1,10,1.1956,0.9271
HVM-0982,W01,-7,-31,1,10,1.1310,0.8967
HVM-0982,W01,-6,-31,1,10,1.0983,0.9147
HVM-0982,W01,-5,-31,1,10,1.1505,0.8953
HVM-0982,W01,-4,-31,1,10,1.1300,0.8838
HVM-0982,W01,-3,-31,1,10,1.1861,0.8431
HVM-0982,W01,-2,-31,2,20,1.1387,0.9056
HVM-0982,W01,-1,-31,1,10,1.1138,0.9093
HVM-0982,W01,0,-31,1,10,1.1787,0.9198
HVM-0982,W01,1,-31,1,10,1.1613,0.9019
HVM-0982,W01,2,-31,1,10,1.1172,0.8811
HVM-0982,W01,3,-31,1,10,1.1460,0.8729
HVM-0982,W01,4,-31,1,10,1.1618,0.8857
HVM-0982,W01,5,-31,1,10,1.1260,0.8535
HVM-0982,W01,6,-31,1,10,1.1721,0.9123
HVM-0982,W01,7,-31,1,10,1.1981,0.8967
HVM-0982,W01,8,-31,1,10,1.1429,0.8869
HVM-0982,W01,9,-31,1,10,1.1822,0.8981
HVM-0982,W01,10,-31,1,10,1.2333,0.8953
HVM-0982,W01,11,-31,1,10,1.2055,0.9099
HVM-0982,W01,12,-31,2,31,1.1564,0.8915
HVM-0982,W01,13,-31,1,10,1.2141,0.8861
HVM-0982,W01,14,-31,2,30,1.1645,0.9286
HVM-0982,W01,15,-31,1,10,1.1200,0.9036
HVM-0982,W01,16,-31,1,10,1.2446,0.8999
HVM-0982,W01,17,-31,1,10,1.1979,0.9209
HVM-0982,W01,18,-31,1,10,1.1920,0.9098
HVM-0982,W01,19,-31,1,10,1.2023,0.8902
HVM-0982,W01,20,-31,1,10,1.2163,0.9399
HVM-0982,W01,21,-31,1,10,1.1947,0.9312
HVM-0982,W01,22,-31,1,10,1.1967,0.9141
HVM-0982,W01,23,-31,1,10,1.1905,0.9512
HVM-0982,W01,24,-31,1,10,1.2344,0.9943
HVM-0982,W01,25,-31,1,10,1.2378,0.8828
HVM-0982,W01,26,-31,1,10,1.2843,0.9103
HVM-0982,W01,27,-31,1,10,1.2025,0.9172
HVM-0982,W01,28,-31,1,10,1.1949,0.9489
HVM-0982,W01,29,-31,1,10,1.2551,0.9449
HVM-0982,W01,30,-31,1,10,1.2768,0.9118
HVM-0982,W01,31,-31,1,10,1.2255,0.8763
HVM-0982,W01,32,-31,1,10,1.2746,0.9283
HVM-0982,W01,33,-31,1,10,1.2016,0.9234
HVM-0982,W01,34,-31,1,10,1.2883,0.9299
HVM-0982,W01,35,-31,1,10,1.2324,0.9419
HVM-0982,W01,36,-31,1,10,1.2431,0.9093
HVM-0982,W01,37,-31,1,10,1.2494,0.9389
HVM-0982,W01,38,-31,1,10,1.2757,0.9539
HVM-0982,W01,39,-31,1,10,1.2809,0.9208
HVM-0982,W01,40,-31,1,10,1.2924,0.9661
HVM-0982,W01,41,-31,4,20,1.2429,0.9678
HVM-0982,W01,42,-31,2,21,1.2553,0.9590
HVM-0982,W01,-42,-30,1,10,1.0864,0.9370
HVM-0982,W01,-41,-30,1,10,1.0444,0.9848
HVM-0982,W01,-40,-30,1,10,1.0315,0.9553
HVM-0982,W01,-39,-30,1,10,1.0609,0.9795
HVM-0982,W01,-38,-30,1,10,1.0694,0.9719
HVM-0982,W01,-37,-30,1,10,1.0291,0.9588
HVM-0982,W01,-36,-30,1,10,1.0631,0.9621
HVM-0982,W01,-35,-30,1,10,1.0434,0.9636
HVM-0982,W01,-34,-30,1,10,1.0985,0.9748
HVM-0982,W01,-33,-30,1,10,1.0737,0.9355
HVM-0982,W01,-32,-30,1,10,1.0634,0.9588
HVM-0982,W01,-31,-30,1,10,1.0561,0.9543
HVM-0982,W01,-30,-30,1,10,1.0555,0.9321
HVM-0982,W01,-29,-30,1,10,1.0744,0.9749
HVM-0982,W01,-28,-30,1,10,1.0630,0.9393
HVM-0982,W01,-27,-30,1,10,1.0498,0.9286
HVM-0982,W01,-26,-30,1,10,1.0720,0.9204
HVM-0982,W01,-25,-30,1,10,1.0950,0.9048
HVM-0982,W01,-24,-30,1,10,1.0664,0.9117
HVM-0982,W01,-23,-30,1,10,1.0684,0.9245
HVM-0982,W01,-22,-30,1,10,1.1273,0.9002
HVM-0982,W01,-21,-30,1,10,1.0765,0.9436
HVM-0982,W01,-20,-30,1,10,1.0642,0.9005
HVM-0982,W01,-19,-30,3,20,1.1145,0.8652
HVM-0982,W01,-18,-30,1,10,1.0296,0.9220
HVM-0982,W01,-17,-30,1,10,1.1331,0.9314
HVM-0982,W01,-16,-30,1,10,1.1109,0.9504
HVM-0982,W01,-15,-30,1,10,1.1064,0.9347
HVM-0982,W01,-14,-30,1,10,1.0968,0.9472
HVM-0982,W01,-13,-30,1,10,1.1221,0.8940
HVM-0982,W01,-12,-30,1,10,1.1193,0.9482
HVM-0982,W01,-11,-30,1,10,1.1672,0.9136
HVM-0982,W01,-10,-30,1,10,1.1104,0.9049
HVM-0982,W01,-9,-30,1,10,1.1074,0.9193
HVM-0982,W01,-8,-30,1,10,1.1597,0.8919
HVM-0982,W01,-7,-30,1,10,1.1679,0.9024
HVM-0982,W01,-6,-30,1,10,1.1649,0.9012
HVM-0982,W01,-5,-30,1,10,1.1007,0.8933
HVM-0982,W01,-4,-30,1,10,1.1129,0.9452
HVM-0982,W01,-3,-30,1,10,1.1488,0.9273
HVM-0982,W01,-2,-30,1,10,1.1340,0.9243
HVM-0982,W01,-1,-30,1,10,1.1959,0.8923
HVM-0982,W01,0,-30,1,10,1.1478,0.8630
HVM-0982,W01,1,-30,1,10,1.1508,0.9015
HVM-0982,W01,2,-30,1,10,1.1682,0.8638
HVM-0982,W01,3,-30,1,10,1.1689,0.8908
HVM-0982,W01,4,-30,1,10,1.1943,0.9276
HVM-0982,W01,5,-30,1,10,1.1715,0.8806
HVM-0982,W01,6,-30,1,10,1.1726,0.9426
HVM-0982,W01,7,-30,1,10,1.1697,0.9102
HVM-0982,W01,8,-30,1,10,1.1584,0.9444
HVM-0982,W01,9,-30,1,10,1.1706,0.9335
HVM-0982,W01,10,-30,1,10,1.2018,0.9127
HVM-0982,W01,11,-30,1,10,1.1566,0.9371
HVM-0982,W01,12,-30,1,10,1.1699,0.9437
HVM-0982,W01,13,-30,1,10,1.1821,0.9044
HVM-0982,W01,14,-30,1,10,1.1820,0.9310
HVM-0982,W01,15,-30,1,10,1.2051,0.8920
HVM-0982,W01,16,-30,1,10,1.2163,0.9171
HVM-0982,W01,17,-30,1,10,1.1737,0.9142
HVM-0982,W01,18,-30,2,20,1.2122,0.8991
HVM-0982,W01,19,-30,4,21,1.2072,0.9158
HVM-0982,W01,20,-30,1,10,1.2277,0.9196
HVM-0982,W01,21,-30,1,10,1.2600,0.9451
HVM-0982,W01,22,-30,1,10,1.2538,0.9297
HVM-0982,W01,23,-30,1,10,1.2204,0.9309
HVM-0982,W01,24,-30,1,10,1.2683,0.9272
HVM-0982,W01,25,-30,1,10,1.2455,0.9978
HVM-0982,W01,26,-30,1,10,1.2441,0.9675
HVM-0982,W01,27,-30,1,10,1.2248,0.9557
HVM-0982,W01,28,-30,1,10,1.2615,0.8894
HVM-0982,W01,29,-30,1,10,1.2562,0.9484
HVM-0982,W01,30,-30,1,10,1.2337,0.9402
HVM-0982,W01,31,-30,1,10,1.2348,0.9887
HVM-0982,W01,32,-30,1,10,1.2505,0.9148
HVM-0982,W01,33,-30,1,10,1.2419,0.9376
HVM-0982,W01,34,-30,1,10,1.2502,0.9317
HVM-0982,W01,35,-30,1,10,1.2642,0.9302
HVM-0982,W01,36,-30,1,10,1.2538,0.9258
HVM-0982,W01,37,-30,1,10,1.2893,0.9083
HVM-0982,W01,38,-30,1,10,1.2870,0.9790
HVM-0982,W01,39,-30,1,10,1.2429,0.9286
HVM-0982,W01,40,-30,1,10,1.2676,0.9972
HVM-0982,W01,41,-30,2,21,1.2762,0.9674
HVM-0982,W01,42,-30,1,10,1.3092,0.9693
HVM-0982,W01,-43,-29,4,20,1.0628,0.9362
HVM-0982,W01,-42,-29,1,10,1.0081,0.9933
HVM-0982,W01,-41,-29,1,10,1.0287,0.9903
HVM-0982,W01,-40,-29,1,10,1.0208,0.9170
HVM-0982,W01,-39,-29,1,10,1.0566,0.9784
HVM-0982,W01,-38,-29,1,10,1.0763,0.9293
HVM-0982,W01,-37,-29,1,10,1.0738,0.9601
HVM-0982,W01,-36,-29,1,10,1.0435,0.9711
HVM-0982,W01,-35,-29,1,10,1.0473,0.9326
HVM-0982,W01,-34,-29,1,10,1.0750,0.9598
HVM-0982,W01,-33,-29,1,10,1.0769,0.9514
HVM-0982,W01,-32,-29,1,10,0.9884,0.9351
HVM-0982,W01,-31,-29,1,10,1.0643,0.9223
HVM-0982,W01,-30,-29,1,10,1.0281,0.9606
HVM-0982,W01,-29,-29,1,10,1.0679,0.9507
HVM-0982,W01,-28,-29,1,10,1.0555,0.9447
HVM-0982,W01,-27,-29,1,10,1.0761,0.9575
HVM-0982,W01,-26,-29,1,10,1.0827,0.9203
HVM-0982,W01,-25,-29,1,10,1.1078,0.9211
HVM-0982,W01,-24,-29,1,10,1.1195,0.9320
HVM-0982,W01,-23,-29,1,10,1.1175,0.8746
HVM-0982,W01,-22,-29,1,10,1.0853,0.9244
HVM-0982,W01,-21,-29,1,10,1.0778,0.9228
HVM-0982,W01,-20,-29,1,10,1.0846,0.9043
HVM-0982,W01,-19,-29,1,10,1.0735,0.8646
HVM-0982,W01,-18,-29,1,10,1.1486,0.8710
HVM-0982,W01,-17,-29,1,10,1.1184,0.9452
HVM-0982,W01,-16,-29,1,10,1.1188,0.8667
HVM-0982,W01,-15,-29,1,10,1.1077,0.8729
HVM-0982,W01,-14,-29,1,10,1.1299,0.9003
HVM-0982,W01,-13,-29,1,10,1.0983,0.8974
HVM-0982,W01,-12,-29,1,10,1.1278,0.9261
HVM-0982,W01,-11,-29,1,10,1.1536,0.9485
HVM-0982,W01,-10,-29,1,10,1.1124,0.9277
HVM-0982,W01,-9,-29,1,10,1.1574,0.9239
HVM-0982,W01,-8,-29,1,10,1.1482,0.9691
HVM-0982,W01,-7,-29,1,10,1.1204,0.9393
HVM-0982,W01,-6,-29,1,10,1.1729,0.9141
HVM-0982,W01,-5,-29,1,10,1.1512,0.8977
HVM-0982,W01,-4,-29,1,10,1.1357,0.8726
HVM-0982,W01,-3,-29,4,21,1.1463,0.9157
HVM-0982,W01,-2,-29,1,10,1.1176,0.8940
HVM-0982,W01,-1,-29,1,10,1.1632,0.9151
HVM-0982,W01,0,-29,1,10,1.1355,0.8771
HVM-0982,W01,1,-29,1,10,1.1735,0.9189
HVM-0982,W01,2,-29,1,10,1.1573,0.8551
HVM-0982,W01,3,-29,1,10,1.1150,0.9200
HVM-0982,W01,4,-29,2,31,1.1831,0.8759
HVM-0982,W01,5,-29,1,10,1.1297,0.8819
HVM-0982,W01,6,-29,1,10,1.2042,0.9228
HVM-0982,W01,7,-29,1,10,1.1863,0.8688
HVM-0982,W01,8,-29,4,21,1.2005,0.9233
HVM-0982,W01,9,-29,1,10,1.2037,0.8861
HVM-0982,W01,10,-29,1,10,1.1842,0.8678
HVM-0982,W01,11,-29,1,10,1.2014,0.8904
HVM-0982,W01,12,-29,1,10,1.1613,0.9305
HVM-0982,W01,13,-29,3,30,1.2355,0.9161
HVM-0982,W01,14,-29,1,10,1.1893,0.8539
HVM-0982,W01,15,-29,1,10,1.2283,0.8503
HVM-0982,W01,16,-29,1,10,1.1883,0.8714
HVM-0982,W01,17,-29,1,10,1.2247,0.9209
HVM-0982,W01,18,-29,1,10,1.1444,0.9533
HVM-0982,W01,19,-29,1,10,1.2066,0.9054
HVM-0982,W01,20,-29,1,10,1.2158,0.9084
HVM-0982,W01,21,-29,1,10,1.2260,0.9195
HVM-0982,W01,22,-29,1,10,1.2777,0.9179
HVM-0982,W01,23,-29,1,10,1.2301,0.9099
HVM-0982,W01,24,-29,1,10,1.2035,0.9370
HVM-0982,W01,25,-29,1,10,1.2320,0.9568
HVM-0982,W01,26,-29,1,10,1.2837,0.9473
HVM-0982,W01,27,-29,1,10,1.2730,0.8943
HVM-0982,W01,28,-29,1,10,1.2743,0.9148
HVM-0982,W01,29,-29,1,10,1.2104,0.9487
HVM-0982,W01,30,-29,1,10,1.2402,0.9450
HVM-0982,W01,31,-29,1,10,1.2740,0.9374
HVM-0982,W01,32,-29,2,20,1.2638,0.9509
HVM-0982,W01,33,-29,1,10,1.2561,0.9276
HVM-0982,W01,34,-29,1,10,1.2668,0.9276
HVM-0982,W01,35,-29,1,10,1.2348,0.9355
HVM-0982,W01,36,-29,1,10,1.2235,0.9541
HVM-0982,W01,37,-29,1,10,1.2777,0.9691
HVM-0982,W01,38,-29,1,10,1.2678,0.9322
HVM-0982,W01,39,-29,1,10,1.2516,0.9706
HVM-0982,W01,40,-29,1,10,1.2675,0.9456
HVM-0982,W01,41,-29,4,31,1.2246,0.9858
HVM-0982,W01,42,-29,1,10,1.2877,0.9386
HVM-0982,W01,43,-29,1,10,1.3055,0.9722
HVM-0982,W01,-43,-28,1,10,1.0462,0.9338
HVM-0982,W01,-42,-28,1,10,1.0895,0.9222
HVM-0982,W01,-41,-28,2,21,1.0509,1.0098
HVM-0982,W01,-40,-28,1,10,1.0561,0.9683
HVM-0982,W01,-39,-28,1,10,1.0082,0.9438
HVM-0982,W01,-38,-28,1,10,1.0746,0.9589
HVM-0982,W01,-37,-28,1,10,1.0514,0.9599
HVM-0982,W01,-36,-28,1,10,1.0463,0.9275
HVM-0982,W01,-35,-28,1,10,1.0628,0.9407
HVM-0982,W01,-34,-28,1,10,1.0609,0.9811
HVM-0982,W01,-33,-28,1,10,1.0382,0.8758
HVM-0982,W01,-32,-28,1,10,1.0738,0.9493
HVM-0982,W01,-31,-28,1,10,1.0728,0.9396
HVM-0982,W01,-30,-28,1,10,1.0272,0.9711
HVM-0982,W01,-29,-28,1,10,1.0775,0.9434
HVM-0982,W01,-28,-28,1,10,1.0599,0.9325
HVM-0982,W01,-27,-28,1,10,1.0990,0.9349
HVM-0982,W01,-26,-28,1,10,1.0691,0.9426
HVM-0982,W01,-25,-28,1,10,1.0500,0.9104
HVM-0982,W01,-24,-28,1,10,1.1087,0.9263
HVM-0982,W01,-23,-28,1,10,1.0971,0.9432
HVM-0982,W01,-22,-28,1,10,1.1233,0.9526
HVM-0982,W01,-21,-28,1,10,1.0948,0.9137
HVM-0982,W01,-20,-28,1,10,1.0663,0.9423
